
Smileys & Emotion
№ ,Code ,Browser,Appl ,Goog ,FB ,Wind ,Twtr ,Joy ,Sams ,GMail ,SB ,DCM ,KDDI ,CLDR Short Name
881 ,U+1F552 ,🕒 ,🕒 ,🕒 ,🕒 ,🕒 ,🕒 ,🕒 ,🕒 ,🕒 ,🕒 ,— ,— ,three o’clock
882 ,U+1F55E ,🕞 ,🕞 ,🕞 ,🕞 ,🕞 ,🕞 ,🕞 ,🕞 ,— ,— ,— ,— ,three-thirty
883 ,U+1F553 ,🕓 ,🕓 ,🕓 ,🕓 ,🕓 ,🕓 ,🕓 ,🕓 ,🕓 ,🕓 ,— ,— ,four o’clock
884 ,U+1F55F ,🕟 ,🕟 ,🕟 ,🕟 ,🕟 ,🕟 ,🕟 ,🕟 ,— ,— ,— ,— ,four-thirty
885 ,U+1F554 ,🕔 ,🕔 ,🕔 ,🕔 ,🕔 ,🕔 ,🕔 ,🕔 ,🕔 ,🕔 ,— ,— ,five o’clock
886 ,U+1F560 ,🕠 ,🕠 ,🕠 ,🕠 ,🕠 ,🕠 ,🕠 ,🕠 ,— ,— ,— ,— ,five-thirty
887 ,U+1F555 ,🕕 ,🕕 ,🕕 ,🕕 ,🕕 ,🕕 ,🕕 ,🕕 ,🕕 ,🕕 ,— ,— ,six o’clock
№ ,Code ,Browser,Appl ,Goog ,FB ,Wind ,Twtr ,Joy ,Sams ,GMail ,SB ,DCM ,KDDI ,CLDR Short Name
888 ,U+1F561 ,🕡 ,🕡 ,🕡 ,🕡 ,🕡 ,🕡 ,🕡 ,🕡 ,— ,— ,— ,— ,six-thirty
889 ,U+1F556 ,🕖 ,🕖 ,🕖 ,🕖 ,🕖 ,🕖 ,🕖 ,🕖 ,🕖 ,🕖 ,— ,— ,seven o’clock
890 ,U+1F562 ,🕢 ,🕢 ,🕢 ,🕢 ,🕢 ,🕢 ,🕢 ,🕢 ,— ,— ,— ,— ,seven-thirty
891 ,U+1F557 ,🕗 ,🕗 ,🕗 ,🕗 ,🕗 ,🕗 ,🕗 ,🕗 ,🕗 ,🕗 ,— ,— ,eight o’clock
892 ,U+1F563 ,🕣 ,🕣 ,🕣 ,🕣 ,🕣 ,🕣 ,🕣 ,🕣 ,— ,— ,— ,— ,eight-thirty
893 ,U+1F558 ,🕘 ,🕘 ,🕘 ,🕘 ,🕘 ,🕘 ,🕘 ,🕘 ,🕘 ,🕘 ,— ,— ,nine o’clock
894 ,U+1F564 ,🕤 ,🕤 ,🕤 ,🕤 ,🕤 ,🕤 ,🕤 ,🕤 ,— ,— ,— ,— ,nine-thirty
895 ,U+1F559 ,🕙 ,🕙 ,🕙 ,🕙 ,🕙 ,🕙 ,🕙 ,🕙 ,🕙 ,🕙 ,— ,— ,ten o’clock
896 ,U+1F565 ,🕥 ,🕥 ,🕥 ,🕥 ,🕥 ,🕥 ,🕥 ,🕥 ,— ,— ,— ,— ,ten-thirty
897 ,U+1F55A ,🕚 ,🕚 ,🕚 ,🕚 ,🕚 ,🕚 ,🕚 ,🕚 ,🕚 ,🕚 ,— ,— ,eleven o’clock
898 ,U+1F566 ,🕦 ,🕦 ,🕦 ,🕦 ,🕦 ,🕦 ,🕦 ,🕦 ,— ,— ,— ,— ,eleven-thirty
sky & weather
№ ,Code ,Browser,Appl ,Goog ,FB ,Wind ,Twtr ,Joy ,Sams ,GMail ,SB ,DCM ,KDDI ,CLDR Short Name
899 ,U+1F311 ,🌑 ,🌑 ,🌑 ,🌑 ,🌑 ,🌑 ,🌑 ,🌑 ,🌑 ,— ,🌑 ,🌑 ,new moon
900 ,U+1F312 ,🌒 ,🌒 ,🌒 ,🌒 ,🌒 ,🌒 ,🌒 ,🌒 ,— ,— ,— ,— ,waxing crescent moon
901 ,U+1F313 ,🌓 ,🌓 ,🌓 ,🌓 ,🌓 ,🌓 ,🌓 ,🌓 ,🌓 ,— ,🌓 ,🌓 ,first quarter moon
902 ,U+1F314 ,🌔 ,🌔 ,🌔 ,🌔 ,🌔 ,🌔 ,🌔 ,🌔 ,🌔 ,— ,🌔 ,🌔 ,waxing gibbous moon
903 ,U+1F315 ,🌕 ,🌕 ,🌕 ,🌕 ,🌕 ,🌕 ,🌕 ,🌕 ,🌕 ,— ,🌕 ,— ,full moon
904 ,U+1F316 ,🌖 ,🌖 ,🌖 ,🌖 ,🌖 ,🌖 ,🌖 ,🌖 ,— ,— ,— ,— ,waning gibbous moon
905 ,U+1F317 ,🌗 ,🌗 ,🌗 ,🌗 ,🌗 ,🌗 ,🌗 ,🌗 ,— ,— ,— ,— ,last quarter moon
906 ,U+1F318 ,🌘 ,🌘 ,🌘 ,🌘 ,🌘 ,🌘 ,🌘 ,🌘 ,— ,— ,— ,— ,waning crescent moon
907 ,U+1F319 ,🌙 ,🌙 ,🌙 ,🌙 ,🌙 ,🌙 ,🌙 ,🌙 ,🌙 ,🌙 ,🌙 ,🌙 ,crescent moon
908 ,U+1F31A ,🌚 ,🌚 ,🌚 ,🌚 ,🌚 ,🌚 ,🌚 ,🌚 ,— ,— ,— ,— ,new moon face
909 ,U+1F31B ,🌛 ,🌛 ,🌛 ,🌛 ,🌛 ,🌛 ,🌛 ,🌛 ,🌛 ,— ,— ,🌛 ,first quarter moon face
910 ,U+1F31C ,🌜 ,🌜 ,🌜 ,🌜 ,🌜 ,🌜 ,🌜 ,🌜 ,— ,— ,— ,— ,last quarter moon face
911 ,U+1F321 ,🌡 ,🌡 ,🌡 ,🌡 ,🌡 ,🌡 ,🌡 ,🌡 ,— ,— ,— ,— ,thermometer
912 ,U+2600 ,☀ ,☀ ,☀ ,☀ ,☀ ,☀ ,☀ ,☀ ,☀ ,☀ ,☀ ,☀ ,sun
913 ,U+1F31D ,🌝 ,🌝 ,🌝 ,🌝 ,🌝 ,🌝 ,🌝 ,🌝 ,— ,— ,— ,— ,full moon face
914 ,U+1F31E ,🌞 ,🌞 ,🌞 ,🌞 ,🌞 ,🌞 ,🌞 ,🌞 ,— ,— ,— ,— ,sun with face
915 ,U+1FA90 ,🪐 ,🪐 ,🪐 ,🪐 ,🪐 ,🪐 ,🪐 ,🪐 ,— ,— ,— ,— ,ringed planet
916 ,U+2B50 ,⭐ ,⭐ ,⭐ ,⭐ ,⭐ ,⭐ ,⭐ ,⭐ ,— ,⭐ ,— ,⭐ ,star
917 ,U+1F31F ,🌟 ,🌟 ,🌟 ,🌟 ,🌟 ,🌟 ,🌟 ,🌟 ,🌟 ,🌟 ,— ,— ,glowing star
918 ,U+1F320 ,🌠 ,🌠 ,🌠 ,🌠 ,🌠 ,🌠 ,🌠 ,🌠 ,🌠 ,— ,— ,🌠 ,shooting star
№ ,Code ,Browser,Appl ,Goog ,FB ,Wind ,Twtr ,Joy ,Sams ,GMail ,SB ,DCM ,KDDI ,CLDR Short Name
919 ,U+1F30C ,🌌 ,🌌 ,🌌 ,🌌 ,🌌 ,🌌 ,🌌 ,🌌 ,🌌 ,— ,— ,🌌 ,milky way
920 ,U+2601 ,☁ ,☁ ,☁ ,☁ ,☁ ,☁ ,☁ ,☁ ,☁ ,☁ ,☁ ,☁ ,cloud
921 ,U+26C5 ,⛅ ,⛅ ,⛅ ,⛅ ,⛅ ,⛅ ,⛅ ,⛅ ,⛅ ,— ,— ,⛅ ,sun behind cloud
922 ,U+26C8 ,⛈ ,⛈ ,⛈ ,⛈ ,⛈ ,⛈ ,⛈ ,⛈ ,— ,— ,— ,— ,cloud with lightning and rain
923 ,U+1F324 ,🌤 ,🌤 ,🌤 ,🌤 ,🌤 ,🌤 ,🌤 ,🌤 ,— ,— ,— ,— ,sun behind small cloud
924 ,U+1F325 ,🌥 ,🌥 ,🌥 ,🌥 ,🌥 ,🌥 ,🌥 ,🌥 ,— ,— ,— ,— ,sun behind large cloud
925 ,U+1F326 ,🌦 ,🌦 ,🌦 ,🌦 ,🌦 ,🌦 ,🌦 ,🌦 ,— ,— ,— ,— ,sun behind rain cloud
926 ,U+1F327 ,🌧 ,🌧 ,🌧 ,🌧 ,🌧 ,🌧 ,🌧 ,🌧 ,— ,— ,— ,— ,cloud with rain
927 ,U+1F328 ,🌨 ,🌨 ,🌨 ,🌨 ,🌨 ,🌨 ,🌨 ,🌨 ,— ,— ,— ,— ,cloud with snow
928 ,U+1F329 ,🌩 ,🌩 ,🌩 ,🌩 ,🌩 ,🌩 ,🌩 ,🌩 ,— ,— ,— ,— ,cloud with lightning
929 ,U+1F32A ,🌪 ,🌪 ,🌪 ,🌪 ,🌪 ,🌪 ,🌪 ,🌪 ,— ,— ,— ,— ,tornado
930 ,U+1F32B ,🌫 ,🌫 ,🌫 ,🌫 ,🌫 ,🌫 ,🌫 ,🌫 ,— ,— ,— ,— ,fog
931 ,U+1F32C ,🌬 ,🌬 ,🌬 ,🌬 ,🌬 ,🌬 ,🌬 ,🌬 ,— ,— ,— ,— ,wind face
932 ,U+1F300 ,🌀 ,🌀 ,🌀 ,🌀 ,🌀 ,🌀 ,🌀 ,🌀 ,🌀 ,🌀 ,🌀 ,🌀 ,cyclone
933 ,U+1F308 ,🌈 ,🌈 ,🌈 ,🌈 ,🌈 ,🌈 ,🌈 ,🌈 ,🌈 ,🌈 ,— ,🌈 ,rainbow
934 ,U+1F302 ,🌂 ,🌂 ,🌂 ,🌂 ,🌂 ,🌂 ,🌂 ,🌂 ,🌂 ,🌂 ,🌂 ,🌂 ,closed umbrella
935 ,U+2602 ,☂ ,☂ ,☂ ,☂ ,☂ ,☂ ,☂ ,☂ ,— ,— ,— ,— ,umbrella
936 ,U+2614 ,☔ ,☔ ,☔ ,☔ ,☔ ,☔ ,☔ ,☔ ,☔ ,☔ ,☔ ,☔ ,umbrella with rain drops
937 ,U+26F1 ,⛱ ,⛱ ,⛱ ,⛱ ,⛱ ,⛱ ,⛱ ,⛱ ,— ,— ,— ,— ,umbrella on ground
938 ,U+26A1 ,⚡ ,⚡ ,⚡ ,⚡ ,⚡ ,⚡ ,⚡ ,⚡ ,⚡ ,⚡ ,⚡ ,⚡ ,high voltage
№ ,Code ,Browser,Appl ,Goog ,FB ,Wind ,Twtr ,Joy ,Sams ,GMail ,SB ,DCM ,KDDI ,CLDR Short Name
939 ,U+2744 ,❄ ,❄ ,❄ ,❄ ,❄ ,❄ ,❄ ,❄ ,❄ ,— ,— ,❄ ,snowflake
940 ,U+2603 ,☃ ,☃ ,☃ ,☃ ,☃ ,☃ ,☃ ,☃ ,— ,— ,— ,— ,snowman
941 ,U+26C4 ,⛄ ,⛄ ,⛄ ,⛄ ,⛄ ,⛄ ,⛄ ,⛄ ,⛄ ,⛄ ,⛄ ,⛄ ,snowman without snow
942 ,U+2604 ,☄ ,☄ ,☄ ,☄ ,☄ ,☄ ,☄ ,☄ ,— ,— ,— ,— ,comet
943 ,U+1F525 ,🔥 ,🔥 ,🔥 ,🔥 ,🔥 ,🔥 ,🔥 ,🔥 ,🔥 ,🔥 ,— ,🔥 ,fire
944 ,U+1F4A7 ,💧 ,💧 ,💧 ,💧 ,💧 ,💧 ,💧 ,💧 ,💧 ,— ,💧 ,💧 ,droplet
945 ,U+1F30A ,🌊 ,🌊 ,🌊 ,🌊 ,🌊 ,🌊 ,🌊 ,🌊 ,🌊 ,🌊 ,🌊 ,🌊 ,water wave
Activities
event
№ ,Code ,Browser,Appl ,Goog ,FB ,Wind ,Twtr ,Joy ,Sams ,GMail ,SB ,DCM ,KDDI ,CLDR Short Name
946 ,U+1F383 ,🎃 ,🎃 ,🎃 ,🎃 ,🎃 ,🎃 ,🎃 ,🎃 ,🎃 ,🎃 ,— ,🎃 ,jack-o-lantern
947 ,U+1F384 ,🎄 ,🎄 ,🎄 ,🎄 ,🎄 ,🎄 ,🎄 ,🎄 ,🎄 ,🎄 ,🎄 ,🎄 ,Christmas tree
948 ,U+1F386 ,🎆 ,🎆 ,🎆 ,🎆 ,🎆 ,🎆 ,🎆 ,🎆 ,🎆 ,🎆 ,— ,🎆 ,fireworks
949 ,U+1F387 ,🎇 ,🎇 ,🎇 ,🎇 ,🎇 ,🎇 ,🎇 ,🎇 ,🎇 ,🎇 ,— ,🎇 ,sparkler
950 ,U+1F9E8 ,🧨 ,🧨 ,🧨 ,🧨 ,🧨 ,🧨 ,🧨 ,🧨 ,— ,— ,— ,— ,firecracker
951 ,U+2728 ,✨ ,✨ ,✨ ,✨ ,✨ ,✨ ,✨ ,✨ ,✨ ,✨ ,✨ ,✨ ,sparkles
952 ,U+1F388 ,🎈 ,🎈 ,🎈 ,🎈 ,🎈 ,🎈 ,🎈 ,🎈 ,🎈 ,🎈 ,— ,🎈 ,balloon
953 ,U+1F389 ,🎉 ,🎉 ,🎉 ,🎉 ,🎉 ,🎉 ,🎉 ,🎉 ,🎉 ,🎉 ,— ,🎉 ,party popper
954 ,U+1F38A ,🎊 ,🎊 ,🎊 ,🎊 ,🎊 ,🎊 ,🎊 ,🎊 ,🎊 ,— ,— ,🎊 ,confetti ball
955 ,U+1F38B ,🎋 ,🎋 ,🎋 ,🎋 ,🎋 ,🎋 ,🎋 ,🎋 ,🎋 ,— ,— ,🎋 ,tanabata tree
956 ,U+1F38D ,🎍 ,🎍 ,🎍 ,🎍 ,🎍 ,🎍 ,🎍 ,🎍 ,🎍 ,🎍 ,— ,🎍 ,pine decoration
957 ,U+1F38E ,🎎 ,🎎 ,🎎 ,🎎 ,🎎 ,🎎 ,🎎 ,🎎 ,🎎 ,🎎 ,— ,🎎 ,Japanese dolls
958 ,U+1F38F ,🎏 ,🎏 ,🎏 ,🎏 ,🎏 ,🎏 ,🎏 ,🎏 ,🎏 ,🎏 ,— ,🎏 ,carp streamer
959 ,U+1F390 ,🎐 ,🎐 ,🎐 ,🎐 ,🎐 ,🎐 ,🎐 ,🎐 ,🎐 ,🎐 ,— ,🎐 ,wind chime
960 ,U+1F391 ,🎑 ,🎑 ,🎑 ,🎑 ,🎑 ,🎑 ,🎑 ,🎑 ,🎑 ,🎑 ,— ,🎑 ,moon viewing ceremony
961 ,U+1F9E7 ,🧧 ,🧧 ,🧧 ,🧧 ,🧧 ,🧧 ,🧧 ,🧧 ,— ,— ,— ,— ,red envelope
962 ,U+1F380 ,🎀 ,🎀 ,🎀 ,🎀 ,🎀 ,🎀 ,🎀 ,🎀 ,🎀 ,🎀 ,🎀 ,🎀 ,ribbon
963 ,U+1F381 ,🎁 ,🎁 ,🎁 ,🎁 ,🎁 ,🎁 ,🎁 ,🎁 ,🎁 ,🎁 ,🎁 ,🎁 ,wrapped gift
964 ,U+1F397 ,🎗 ,🎗 ,🎗 ,🎗 ,🎗 ,🎗 ,🎗 ,🎗 ,— ,— ,— ,— ,reminder ribbon
965 ,U+1F39F ,🎟 ,🎟 ,🎟 ,🎟 ,🎟 ,🎟 ,🎟 ,🎟 ,— ,— ,— ,— ,admission tickets
№ ,Code ,Browser,Appl ,Goog ,FB ,Wind ,Twtr ,Joy ,Sams ,GMail ,SB ,DCM ,KDDI ,CLDR Short Name
966 ,U+1F3AB ,🎫 ,🎫 ,🎫 ,🎫 ,🎫 ,🎫 ,🎫 ,🎫 ,🎫 ,🎫 ,🎫 ,🎫 ,ticket
award-medal
№ ,Code ,Browser,Appl ,Goog ,FB ,Wind ,Twtr ,Joy ,Sams ,GMail ,SB ,DCM ,KDDI ,CLDR Short Name
967 ,U+1F396 ,🎖 ,🎖 ,🎖 ,🎖 ,🎖 ,🎖 ,🎖 ,🎖 ,— ,— ,— ,— ,military medal
968 ,U+1F3C6 ,🏆 ,🏆 ,🏆 ,🏆 ,🏆 ,🏆 ,🏆 ,🏆 ,🏆 ,🏆 ,— ,🏆 ,trophy
969 ,U+1F3C5 ,🏅 ,🏅 ,🏅 ,🏅 ,🏅 ,🏅 ,🏅 ,🏅 ,— ,— ,— ,— ,sports medal
970 ,U+1F947 ,🥇 ,🥇 ,🥇 ,🥇 ,🥇 ,🥇 ,🥇 ,🥇 ,— ,— ,— ,— ,1st place medal
971 ,U+1F948 ,🥈 ,🥈 ,🥈 ,🥈 ,🥈 ,🥈 ,🥈 ,🥈 ,— ,— ,— ,— ,2nd place medal
972 ,U+1F949 ,🥉 ,🥉 ,🥉 ,🥉 ,🥉 ,🥉 ,🥉 ,🥉 ,— ,— ,— ,— ,3rd place medal
sport
№ ,Code ,Browser,Appl ,Goog ,FB ,Wind ,Twtr ,Joy ,Sams ,GMail ,SB ,DCM ,KDDI ,CLDR Short Name
973 ,U+26BD ,⚽ ,⚽ ,⚽ ,⚽ ,⚽ ,⚽ ,⚽ ,⚽ ,⚽ ,⚽ ,⚽ ,⚽ ,soccer ball
974 ,U+26BE ,⚾ ,⚾ ,⚾ ,⚾ ,⚾ ,⚾ ,⚾ ,⚾ ,⚾ ,⚾ ,⚾ ,⚾ ,baseball
975 ,U+1F94E ,🥎 ,🥎 ,🥎 ,🥎 ,🥎 ,🥎 ,🥎 ,🥎 ,— ,— ,— ,— ,softball
976 ,U+1F3C0 ,🏀 ,🏀 ,🏀 ,🏀 ,🏀 ,🏀 ,🏀 ,🏀 ,🏀 ,🏀 ,🏀 ,🏀 ,basketball
977 ,U+1F3D0 ,🏐 ,🏐 ,🏐 ,🏐 ,🏐 ,🏐 ,🏐 ,🏐 ,— ,— ,— ,— ,volleyball
978 ,U+1F3C8 ,🏈 ,🏈 ,🏈 ,🏈 ,🏈 ,🏈 ,🏈 ,🏈 ,🏈 ,🏈 ,— ,🏈 ,american football
979 ,U+1F3C9 ,🏉 ,🏉 ,🏉 ,🏉 ,🏉 ,🏉 ,🏉 ,🏉 ,— ,— ,— ,— ,rugby football
980 ,U+1F3BE ,🎾 ,🎾 ,🎾 ,🎾 ,🎾 ,🎾 ,🎾 ,🎾 ,🎾 ,🎾 ,🎾 ,🎾 ,tennis
981 ,U+1F94F ,🥏 ,🥏 ,🥏 ,🥏 ,🥏 ,🥏 ,🥏 ,🥏 ,— ,— ,— ,— ,flying disc
982 ,U+1F3B3 ,🎳 ,🎳 ,🎳 ,🎳 ,🎳 ,🎳 ,🎳 ,🎳 ,🎳 ,— ,— ,🎳 ,bowling
983 ,U+1F3CF ,🏏 ,🏏 ,🏏 ,🏏 ,🏏 ,🏏 ,🏏 ,🏏 ,— ,— ,— ,— ,cricket game
984 ,U+1F3D1 ,🏑 ,🏑 ,🏑 ,🏑 ,🏑 ,🏑 ,🏑 ,🏑 ,— ,— ,— ,— ,field hockey
985 ,U+1F3D2 ,🏒 ,🏒 ,🏒 ,🏒 ,🏒 ,🏒 ,🏒 ,🏒 ,— ,— ,— ,— ,ice hockey
986 ,U+1F94D ,🥍 ,🥍 ,🥍 ,🥍 ,🥍 ,🥍 ,🥍 ,🥍 ,— ,— ,— ,— ,lacrosse
987 ,U+1F3D3 ,🏓 ,🏓 ,🏓 ,🏓 ,🏓 ,🏓 ,🏓 ,🏓 ,— ,— ,— ,— ,ping pong
988 ,U+1F3F8 ,🏸 ,🏸 ,🏸 ,🏸 ,🏸 ,🏸 ,🏸 ,🏸 ,— ,— ,— ,— ,badminton
989 ,U+1F94A ,🥊 ,🥊 ,🥊 ,🥊 ,🥊 ,🥊 ,🥊 ,🥊 ,— ,— ,— ,— ,boxing glove
990 ,U+1F94B ,🥋 ,🥋 ,🥋 ,🥋 ,🥋 ,🥋 ,🥋 ,🥋 ,— ,— ,— ,— ,martial arts uniform
991 ,U+1F945 ,🥅 ,🥅 ,🥅 ,🥅 ,🥅 ,🥅 ,🥅 ,🥅 ,— ,— ,— ,— ,goal net
992 ,U+26F3 ,⛳ ,⛳ ,⛳ ,⛳ ,⛳ ,⛳ ,⛳ ,⛳ ,⛳ ,⛳ ,⛳ ,⛳ ,flag in hole
№ ,Code ,Browser,Appl ,Goog ,FB ,Wind ,Twtr ,Joy ,Sams ,GMail ,SB ,DCM ,KDDI ,CLDR Short Name
993 ,U+26F8 ,⛸ ,⛸ ,⛸ ,⛸ ,⛸ ,⛸ ,⛸ ,⛸ ,— ,— ,— ,— ,ice skate
994 ,U+1F3A3 ,🎣 ,🎣 ,🎣 ,🎣 ,🎣 ,🎣 ,🎣 ,🎣 ,🎣 ,— ,— ,🎣 ,fishing pole
995 ,U+1F93F ,🤿 ,🤿 ,🤿 ,🤿 ,🤿 ,🤿 ,🤿 ,🤿 ,— ,— ,— ,— ,diving mask
996 ,U+1F3BD ,🎽 ,🎽 ,🎽 ,🎽 ,🎽 ,🎽 ,🎽 ,🎽 ,🎽 ,— ,🎽 ,— ,running shirt
997 ,U+1F3BF ,🎿 ,🎿 ,🎿 ,🎿 ,🎿 ,🎿 ,🎿 ,🎿 ,🎿 ,🎿 ,🎿 ,🎿 ,skis
998 ,U+1F6F7 ,🛷 ,🛷 ,🛷 ,🛷 ,🛷 ,🛷 ,🛷 ,🛷 ,— ,— ,— ,— ,sled
999 ,U+1F94C ,🥌 ,🥌 ,🥌 ,🥌 ,🥌 ,🥌 ,🥌 ,🥌 ,— ,— ,— ,— ,curling stone
game
№ ,Code ,Browser,Appl ,Goog ,FB ,Wind ,Twtr ,Joy ,Sams ,GMail ,SB ,DCM ,KDDI ,CLDR Short Name
1000 ,U+1F3AF ,🎯 ,🎯 ,🎯 ,🎯 ,🎯 ,🎯 ,🎯 ,🎯 ,🎯 ,🎯 ,— ,🎯 ,direct hit
1001 ,U+1FA80 ,🪀 ,🪀 ,🪀 ,🪀 ,🪀 ,🪀 ,🪀 ,🪀 ,— ,— ,— ,— ,yo-yo
1002 ,U+1FA81 ,🪁 ,🪁 ,🪁 ,🪁 ,🪁 ,🪁 ,🪁 ,🪁 ,— ,— ,— ,— ,kite
1003 ,U+1F3B1 ,🎱 ,🎱 ,🎱 ,🎱 ,🎱 ,🎱 ,🎱 ,🎱 ,🎱 ,🎱 ,— ,🎱 ,pool 8 ball
1004 ,U+1F52E ,🔮 ,🔮 ,🔮 ,🔮 ,🔮 ,🔮 ,🔮 ,🔮 ,🔮 ,— ,— ,🔮 ,crystal ball
1005 ,U+1F9FF ,🧿 ,🧿 ,🧿 ,🧿 ,🧿 ,🧿 ,🧿 ,🧿 ,— ,— ,— ,— ,nazar amulet
1006 ,U+1F3AE ,🎮 ,🎮 ,🎮 ,🎮 ,🎮 ,🎮 ,🎮 ,🎮 ,🎮 ,— ,🎮 ,🎮 ,video game
1007 ,U+1F579 ,🕹 ,🕹 ,🕹 ,🕹 ,🕹 ,🕹 ,🕹 ,🕹 ,— ,— ,— ,— ,joystick
1008 ,U+1F3B0 ,🎰 ,🎰 ,🎰 ,🎰 ,🎰 ,🎰 ,🎰 ,🎰 ,🎰 ,🎰 ,— ,🎰 ,slot machine
1009 ,U+1F3B2 ,🎲 ,🎲 ,🎲 ,🎲 ,🎲 ,🎲 ,🎲 ,🎲 ,🎲 ,— ,— ,🎲 ,game die
1010 ,U+1F9E9 ,🧩 ,🧩 ,🧩 ,🧩 ,🧩 ,🧩 ,🧩 ,🧩 ,— ,— ,— ,— ,puzzle piece
1011 ,U+1F9F8 ,🧸 ,🧸 ,🧸 ,🧸 ,🧸 ,🧸 ,🧸 ,🧸 ,— ,— ,— ,— ,teddy bear
1012 ,U+2660 ,♠ ,♠ ,♠ ,♠ ,♠ ,♠ ,♠ ,♠ ,♠ ,♠ ,♠ ,♠ ,spade suit
1013 ,U+2665 ,♥ ,♥ ,♥ ,♥ ,♥ ,♥ ,♥ ,♥ ,♥ ,♥ ,♥ ,♥ ,heart suit
1014 ,U+2666 ,♦ ,♦ ,♦ ,♦ ,♦ ,♦ ,♦ ,♦ ,♦ ,♦ ,♦ ,♦ ,diamond suit
1015 ,U+2663 ,♣ ,♣ ,♣ ,♣ ,♣ ,♣ ,♣ ,♣ ,♣ ,♣ ,♣ ,♣ ,club suit
1016 ,U+265F ,♟ ,♟ ,♟ ,♟ ,♟ ,♟ ,♟ ,♟ ,— ,— ,— ,— ,chess pawn
1017 ,U+1F0CF ,🃏 ,🃏 ,🃏 ,🃏 ,🃏 ,🃏 ,🃏 ,🃏 ,🃏 ,— ,— ,🃏 ,joker
1018 ,U+1F004 ,🀄 ,🀄 ,🀄 ,🀄 ,🀄 ,🀄 ,🀄 ,🀄 ,🀄 ,🀄 ,— ,🀄 ,mahjong red dragon
1019 ,U+1F3B4 ,🎴 ,🎴 ,🎴 ,🎴 ,🎴 ,🎴 ,🎴 ,🎴 ,🎴 ,— ,— ,🎴 ,flower playing cards
arts & crafts
№ ,Code ,Browser,Appl ,Goog ,FB ,Wind ,Twtr ,Joy ,Sams ,GMail ,SB ,DCM ,KDDI ,CLDR Short Name
1020 ,U+1F3AD ,🎭 ,🎭 ,🎭 ,🎭 ,🎭 ,🎭 ,🎭 ,🎭 ,🎭 ,— ,— ,🎭 ,performing arts
1021 ,U+1F5BC ,🖼 ,🖼 ,🖼 ,🖼 ,🖼 ,🖼 ,🖼 ,🖼 ,— ,— ,— ,— ,framed picture
1022 ,U+1F3A8 ,🎨 ,🎨 ,🎨 ,🎨 ,🎨 ,🎨 ,🎨 ,🎨 ,🎨 ,🎨 ,🎨 ,🎨 ,artist palette
1023 ,U+1F9F5 ,🧵 ,🧵 ,🧵 ,🧵 ,🧵 ,🧵 ,🧵 ,🧵 ,— ,— ,— ,— ,thread
1024 ,U+1F9F6 ,🧶 ,🧶 ,🧶 ,🧶 ,🧶 ,🧶 ,🧶 ,🧶 ,— ,— ,— ,— ,yarn
Objects
clothing
№ ,Code ,Browser,Appl ,Goog ,FB ,Wind ,Twtr ,Joy ,Sams ,GMail ,SB ,DCM ,KDDI ,CLDR Short Name
1025 ,U+1F453 ,👓 ,👓 ,👓 ,👓 ,👓 ,👓 ,👓 ,👓 ,👓 ,— ,👓 ,👓 ,glasses
1026 ,U+1F576 ,🕶 ,🕶 ,🕶 ,🕶 ,🕶 ,🕶 ,🕶 ,🕶 ,— ,— ,— ,— ,sunglasses
1027 ,U+1F97D ,🥽 ,🥽 ,🥽 ,🥽 ,🥽 ,🥽 ,🥽 ,🥽 ,— ,— ,— ,— ,goggles
1028 ,U+1F97C ,🥼 ,🥼 ,🥼 ,🥼 ,🥼 ,🥼 ,🥼 ,🥼 ,— ,— ,— ,— ,lab coat
1029 ,U+1F9BA ,🦺 ,🦺 ,🦺 ,🦺 ,🦺 ,🦺 ,🦺 ,🦺 ,— ,— ,— ,— ,safety vest
1030 ,U+1F454 ,👔 ,👔 ,👔 ,👔 ,👔 ,👔 ,👔 ,👔 ,👔 ,👔 ,— ,👔 ,necktie
1031 ,U+1F455 ,👕 ,👕 ,👕 ,👕 ,👕 ,👕 ,👕 ,👕 ,👕 ,👕 ,👕 ,👕 ,t-shirt
1032 ,U+1F456 ,👖 ,👖 ,👖 ,👖 ,👖 ,👖 ,👖 ,👖 ,👖 ,— ,👖 ,👖 ,jeans
1033 ,U+1F9E3 ,🧣 ,🧣 ,🧣 ,🧣 ,🧣 ,🧣 ,🧣 ,🧣 ,— ,— ,— ,— ,scarf
1034 ,U+1F9E4 ,🧤 ,🧤 ,🧤 ,🧤 ,🧤 ,🧤 ,🧤 ,🧤 ,— ,— ,— ,— ,gloves
1035 ,U+1F9E5 ,🧥 ,🧥 ,🧥 ,🧥 ,🧥 ,🧥 ,🧥 ,🧥 ,— ,— ,— ,— ,coat
1036 ,U+1F9E6 ,🧦 ,🧦 ,🧦 ,🧦 ,🧦 ,🧦 ,🧦 ,🧦 ,— ,— ,— ,— ,socks
1037 ,U+1F457 ,👗 ,👗 ,👗 ,👗 ,👗 ,👗 ,👗 ,👗 ,👗 ,👗 ,— ,👗 ,dress
1038 ,U+1F458 ,👘 ,👘 ,👘 ,👘 ,👘 ,👘 ,👘 ,👘 ,👘 ,👘 ,— ,👘 ,kimono
1039 ,U+1F97B ,🥻 ,🥻 ,🥻 ,🥻 ,🥻 ,🥻 ,🥻 ,🥻 ,— ,— ,— ,— ,sari
